"","UnlistCuerpoNoticia","Freq"
"1","",3
"2","27%",1
"3","30%",1
"4","a",9
"5","abiertos",1
"6","abusos",1
"7","acción",1
"8","acciones",1
"9","actual",1
"10","además",1
"11","aduanas",1
"12","agrícola",2
"13","agricultura",1
"14","al",1
"15","antidistorsiones",3
"16","añadió",1
"17","años",1
"18","aplicación",1
"19","aplicar",1
"20","apoyarla",1
"21","arancelarias",1
"22","ariztía",3
"23","aseveró",1
"24","atención",1
"25","atentos",1
"26","autoridades",1
"27","bajas",1
"28","bajo",1
"29","barreras",1
"30","basa",1
"31","bien",1
"32","cadena",1
"33","casos",1
"34","chile",1
"35","cinco",1
"36","comercialmente",1
"37","comercio",1
"38","comisión",3
"39","competitividad",1
"40","con",2
"41","concreto",1
"42","consignar",1
"43","consumidores",1
"44","contexto",2
"45","crítica:",1
"46","cual",2
"47","cualquier",3
"48","cuenta",1
"49","daño",1
"50","de",27
"51","decidió",1
"52","decisión",2
"53","decisiones",1
"54","del",5
"55","demora",1
"56","demostrado",1
"57","depredador",1
"58","descremada",1
"59","desestima",1
"60","después",1
"61","determinación",1
"62","diez",1
"63","dilatar",1
"64","distorsión",1
"65","económica",1
"66","económico",1
"67","el",7
"68","empresarial",1
"69","en",12
"70","entender",1
"71","entera",1
"72","es",2
"73","ese",1
"74","eso",1
"75","esta",1
"76","establece",1
"77","este",1
"78","esté",1
"79","esto",1
"80","excelente",1
"81","exclusivamente",1
"82","explicó",1
"83","favorecer",1
"84","fedeleche",2
"85","federación",1
"86","fiscalía",1
"87","fne",1
"88","formar",1
"89","fundamentada",1
"90","futura",1
"91","goudaestamos",1
"92","gracias",1
"93","gremio",1
"94","ha",3
"95","hay",1
"96","herramientas",1
"97","hizo",1
"98","importación",1
"99","industria",2
"100","instancia",1
"101","internación",1
"102","investigación",1
"103","la",20
"104","láctea",1
"105","lácteacabe",1
"106","lácteo",2
"107","lamentamos",1
"108","lamentó",1
"109","las",4
"110","leche",2
"111","lechería",1
"112","líder",1
"113","liquidarla",1
"114","llamado",1
"115","lo",1
"116","los",3
"117","mantiene",1
"118","marco",1
"119","más",2
"120","mercado",1
"121","meses",1
"122","mucho",1
"123","mundial",1
"124","mundo",1
"125","muy",1
"126","nacional",4
"127","nada",1
"128","nivel",1
"129","no",3
"130","o",1
"131","ocurrido",1
"132","omc",1
"133","organización",1
"134","otro",1
"135","países",1
"136","para",4
"137","parte",1
"138","pertinentes",1
"139","polvo",1
"140","por",3
"141","precio",1
"142","presidente",2
"143","presidida",1
"144","prestar",1
"145","privilegia",1
"146","productivo",1
"147","producto",1
"148","productores",2
"149","pronunciamiento",1
"150","proporciones",1
"151","protección",1
"152","protege",1
"153","provisional",1
"154","que",13
"155","queso",1
"156","realidad",2
"157","rechazamos",1
"158","rechazar",2
"159","respaldó",1
"160","ricardo",1
"161","salvaguardia",1
"162","salvaguardias",1
"163","santiago",1
"164","se",1
"165","sector",4
"166","semanas",1
"167","sino",1
"168","sistema",1
"169","sna",2
"170","sobretasa",1
"171","sociedad",1
"172","solicitud",1
"173","solo",1
"174","su",5
"175","sufrido",1
"176","tanto",1
"177","tener",1
"178","tesorería",1
"179","tipo",1
"180","todas",1
"181","tomar",1
"182","tomara",1
"183","tome",1
"184","un",3
"185","una",3
"186","uno",1
"187","varios",1
"188","y",7
"189","ya",2
"190","2%",1
"191","2018",3
"192","2019",3
"193","2020",1
"194","2020larraín",1
"195","25%",1
"196","6%",1
"197","a",8
"198","actividad",1
"199","actualizó",1
"200","agenda",1
"201","al",1
"202","alejandro",1
"203","algo",1
"204","alza",1
"205","américa",3
"206","anunciados",1
"207","año",1
"208","años",1
"209","aumento",1
"210","avance",1
"211","base",1
"212","billetera",1
"213","caída",1
"214","caribe",2
"215","caso",1
"216","chile",5
"217","chileel",1
"218","chilena",1
"219","china",1
"220","comenzó",1
"221","comercial",1
"222","commodities",1
"223","con",2
"224","condiciones",1
"225","consumo",2
"226","contempló",1
"227","continuará",2
"228","contribuyen",2
"229","crecer",1
"230","crecimiento",7
"231","cuatro",1
"232","cumplir",1
"233","de",27
"234","debajo",1
"235","debilitamiento",1
"236","déficit",1
"237","del",6
"238","departamento",1
"239","derivados",1
"240","desaceleración",1
"241","desacelerar",1
"242","desmarca",1
"243","destacando",1
"244","dinamismo",1
"245","director",1
"246","documento",2
"247","economía",3
"248","económica",1
"249","económicas",1
"250","económicoresulta",1
"251","el",21
"252","empleo",1
"253","en",15
"254","entre",1
"255","es",1
"256","esa",1
"257","escenario",1
"258","espera",1
"259","esperada",1
"260","esperanzadoras",1
"261","estados",1
"262","este",1
"263","estructurales",1
"264","expectativas",1
"265","factores",1
"266","favorable",1
"267","felipe",1
"268","financieras",1
"269","fiscal",2
"270","fiscales",1
"271","fmi",4
"272","fondo",1
"273","fuerte",2
"274","global",2
"275","globales",1
"276","gobierno",2
"277","gradualmentea",1
"278","hacienda",1
"279","hemisferio",1
"280","hoy",1
"281","implementación",1
"282","impulsado",1
"283","incertidumbre",1
"284","informó",1
"285","internacional",1
"286","inversión",4
"287","jefe",1
"288","la",23
"289","larraínel",1
"290","las",3
"291","latina",3
"292","latinoamérica",1
"293","línea",1
"294","llevar",1
"295","lo",1
"296","los",2
"297","mantendrá",1
"298","mantiene",1
"299","más",1
"300","mejor",1
"301","mejoras",1
"302","menor",2
"303","menores",1
"304","menos",2
"305","mientras",1
"306","ministro",1
"307","ministroperspectivas",1
"308","monetaria",1
"309","monetario",1
"310","mundo:",1
"311","mundootros",1
"312","muy",1
"313","niveles",1
"314","no",1
"315","normalización",1
"316","notable",1
"317","noticias",1
"318","nuestras",1
"319","objetivos",1
"320","obstante",1
"321","occidental",1
"322","octubre",1
"323","organismo",2
"324","otras",1
"325","para",10
"326","permitir",1
"327","pero",1
"328","perspectiva",1
"329","perspectivas",1
"330","piñerapor",1
"331","plantea",1
"332","podría",1
"333","política",2
"334","por",5
"335","posibilidad",1
"336","precios",1
"337","presenta",1
"338","previamente",1
"339","previó",1
"340","privado",1
"341","proyecciones",3
"342","proyeccionesademás",1
"343","proyectó",1
"344","publicado",2
"345","que",11
"346","recuperación",1
"347","reducción",1
"348","reformas",1
"349","región",2
"350","regiónel",1
"351","regiones",1
"352","registre",1
"353","relacionadasfmi:",1
"354","reporte",2
"355","resaltó",1
"356","resto",1
"357","restricción",1
"358","robusto",1
"359","santiago",1
"360","se",3
"361","sebastián",1
"362","seguirá",1
"363","según",1
"364","señaló",1
"365","similares",1
"366","sólidos",1
"367","son",2
"368","sostener",1
"369","sostuvo",2
"370","su",1
"371","sus",3
"372","tanto",1
"373","tasa",1
"374","tenemos",1
"375","tensión",1
"376","tras",1
"377","último",1
"378","un",5
"379","una",3
"380","unidos",1
"381","va",2
"382","vez",1
"383","vuelven",1
"384","werner",1
"385","y",12
"386","$22la",1
"387","$4",1
"388","$655",1
"389","$665$663",1
"390","$66710",1
"391","$66740",1
"392","275%",1
"393","3",1
"394","3%",1
"395","660663",1
"396","a",3
"397","al",2
"398","analista",1
"399","añadió",1
"400","año",1
"401","apoyan",1
"402","asiática",1
"403","bajista",1
"404","bajo",1
"405","banco",1
"406","billete",1
"407","buscando",1
"408","bustamantelos",1
"409","bustamentemientras",1
"410","caída",1
"411","cambiario",1
"412","cambio",2
"413","capitaria",1
"414","carlos",1
"415","casi",1
"416","cayó",2
"417","cedió",1
"418","central",1
"419","cerró",1
"420","chile",1
"421","chilenoasí",1
"422","china",1
"423","cobre",1
"424","comentarios",1
"425","como",1
"426","comprador",1
"427","con",1
"428","continuar",1
"429","cotización",1
"430","de",15
"431","debilidad",1
"432","del",6
"433","desarrollará",1
"434","descendió",1
"435","desde",2
"436","desempeño",1
"437","después",1
"438","dijo",1
"439","divisa",1
"440","dólar",2
"441","donde",1
"442","economía",1
"443","el",10
"444","en",4
"445","entre",1
"446","especialistatécnicamente",1
"447","espera",1
"448","estados",1
"449","estadounidense",1
"450","están",1
"451","este",1
"452","estudios",1
"453","expectativas",1
"454","fortalecen",1
"455","gigante",1
"456","global",1
"457","hasta",1
"458","importante",1
"459","interés",1
"460","inversionistas",1
"461","jefe",1
"462","la",8
"463","las",1
"464","latam",1
"465","local",1
"466","localla",1
"467","los",3
"468","mayor",1
"469","menor",1
"470","mercado",1
"471","mercados",1
"472","metal",1
"473","mostrar",1
"474","nivel",2
"475","nueva",1
"476","octubre",1
"477","optimistas",1
"478","para",1
"479","pasado",2
"480","peso",1
"481","podría",1
"482","podríamos",1
"483","positivo",1
"484","precio",1
"485","presión",1
"486","prevé",1
"487","próxima",3
"488","proyecta",1
"489","puntas",1
"490","que",5
"491","quezada",1
"492","repunte",1
"493","reuniones",1
"494","ricardo",1
"495","rojo",1
"496","ronda",1
"497","santiago",1
"498","se",1
"499","semana",4
"500","señaló",1
"501","sesión",1
"502","siguiente",2
"503","soporte",2
"504","su",1
"505","subirá",1
"506","tasa",1
"507","teniendo",1
"508","tipo",2
"509","trading",1
"510","una",3
"511","unidos",1
"512","vendedor",1
"513","ver",1
"514","verde",1
"515","viernes",1
"516","xtb",1
"517","y",4
"518","%",1
"519","01%",1
"520","02%",1
"521","2018",1
"522","2019",2
"523","25",1
"524","26%",1
"525","28",2
"526","3%",1
"527","30",1
"528","325%",1
"529","61",1
"530","670",1
"531","a",1
"532","acuerdo",1
"533","además",1
"534","al",2
"535","anual",1
"536","año",1
"537","añode",1
"538","apostaron",1
"539","aumentará",1
"540","aumentarán",1
"541","banco",2
"542","base",1
"543","cambio",2
"544","central",1
"545","centralnoticia",1
"546","cerrará",1
"547","chile",1
"548","con",2
"549","consumidor",1
"550","contexto",1
"551","crecimiento",1
"552","cuanto",1
"553","de",10
"554","del",2
"555","días",2
"556","dólar",1
"557","económicas",1
"558","el",8
"559","emisor",1
"560","emitida",1
"561","en",10
"562","encima",1
"563","encuesta",1
"564","enero",2
"565","eof",1
"566","esa",1
"567","ese",1
"568","este",1
"569","estimaron",2
"570","expectativas",1
"571","expertos",1
"572","febreroen",1
"573","fin",1
"574","financieros",2
"575","forma",1
"576","hasta",2
"577","hoy",1
"578","inflación",2
"579","informó",1
"580","junioen",1
"581","la",4
"582","los",5
"583","mantendrá",1
"584","mantiene",1
"585","menor",1
"586","misma",1
"587","monetaria",1
"588","nominal",1
"589","operadores",2
"590","organismo",1
"591","para",2
"592","participaron",1
"593","pesos",1
"594","política",1
"595","por",2
"596","precios",1
"597","prevé",1
"598","previeron",1
"599","promedio",1
"600","proporción",1
"601","próximos",2
"602","proyección",1
"603","publicada",1
"604","puntos",1
"605","que",5
"606","quincenal",1
"607","registrado",1
"608","relacionadaencuesta",1
"609","santiago",1
"610","se",2
"611","siete",1
"612","situará",1
"613","tasa",3
"614","tipo",1
"615","tpm",1
"616","un",2
"617","una",1
"618","viernes",1
"619","y",5
